Run,Loc_Score,Angle_Score,stddev,gamma,d_long,d_short,k1,k2,k3,k4
41,7.96345,0.32079,0.11655295827171655,0.8767568696711959,1.108018235858383,0.20944327967657683,0.45139764042650954,0.48595311696538807,0.08815825661346441,0.18646337498997667
42,8.00694,0.33169,0.2508282465072763,0.1989911607686117,1.4445462289292208,0.2423327969387989,0.02823920539859072,0.3229534348135356,0.11527060343260187,0.4158394595712486
43,8.02255,0.34106,0.26496066584086575,0.7017877999999914,1.232572863841985,0.42808332924099424,0.46796741933951314,0.33066118796493527,0.43507304976538896,0.48575074265372997
44,7.98575,0.3216,0.0653529823411409,0.8912253473207795,1.3058251283176332,0.2891370378791627,0.44067587611771136,0.3115390186560672,0.39591909834905886,0.40502538901634333
45,8.03946,0.33791,0.030621581521497493,0.5157679476014325,1.2595786869211671,0.3402869332108254,0.43312673664057794,0.4589952465721264,0.01799920166618739,0.13599837165949022
46,7.98926,0.35063,0.2019784517615084,0.5044500127028526,1.0929642861106164,0.32659053966545015,0.283474225086589,0.3651014586211354,0.2502731524348091,0.4885410163284945
47,7.96159,0.32699,0.06206569957446916,0.9106156585224545,1.419032133438721,0.2945160598076338,0.3611666949740695,0.4393214166639558,0.05751703106590377,0.42333510423836085
48,8.0029,0.3438,0.29906621233725356,0.6326041370869555,1.426397958145584,0.25576298688569665,0.4012658344631402,0.050956806757801724,0.2955608912882645,0.18694321788035762
49,8.01243,0.3216,0.06335525031342734,0.9822912519041453,1.1655569137398811,0.4042493749353062,0.40546157639715175,0.2504120793974652,0.49988297165874246,0.42156534852585326
50,8.00836,0.34441,0.2938200171304725,0.2541009532953432,1.034272024970821,0.23279303796133205,0.47779102354548575,0.4942324477214412,0.3120218072310476,0.11802837395135955
51,8.03388,0.32531,0.06999970791611361,0.6762634764858351,1.0735669029835635,0.23067653817670883,0.0415759834798748,0.4482441942070316,0.11195878753787614,0.17855403724153213
52,7.96093,0.33954,0.28621595956034696,0.7763805488139449,1.3357788333586416,0.36705306442365215,0.134126985527504,0.43275403536741186,0.39323599784468166,0.3445126697084611
53,8.03315,0.34536,0.2895154613531713,0.7911489402259595,1.242859837816947,0.4737260975751039,0.40907949476588756,0.4677595867298294,0.33436356776142645,0.17170861594778516
54,8.03794,0.33828,0.07459272502113325,0.8930624038614184,1.3431695252848117,0.4842339210055637,0.27092117863606835,0.07608301803958346,0.36509504414168636,0.1213342568451229
55,7.96002,0.34465,0.05107200842132586,0.702515592864564,1.4827922665363111,0.25742816558904486,0.22828865062408674,0.2319434885154909,0.4261134281482424,0.10148022677009547
56,7.97467,0.34303,0.18492897995731733,0.5509583327741348,1.2911736765636168,0.2164430878074375,0.33702102498789593,0.1699668224463255,0.3040686288850085,0.06810081875622567
57,8.03323,0.3488,0.2269322181766193,0.36306864290880925,1.2001166958761738,0.22791020362514222,0.2964547210174977,0.4033418005809569,0.15437644971588257,0.3436315102988077
58,8.00581,0.34365,0.022629442715747527,0.4937234112601478,1.2491201509647762,0.25028590559227265,0.1047346986322308,0.25816434322727005,0.23469011050200475,0.0968919272211168
59,8.00516,0.33415,0.15227841770046022,0.3657808440990535,1.3981418910442773,0.40437808869095515,0.18770492865270216,0.2592953439880025,0.23473203264739176,0.1274376185400433
